date,valquo_pct,spy_pct,excess_pp,n_priced
2026-07-31,0.4126,0.6903,-0.2777,86.0
2026-08-06,0.776,3.6228,-2.8468,86.0
2026-08-13,4.25,4.88,-0.62,86.0
2026-08-17,6.9705,4.1769,2.7936,86.0
2026-08-18,4.4237,3.4732,0.9505,86.0
2026-08-19,6.3396,3.6902,2.6494,86.0
2026-08-20,5.2698,2.8192,2.4506,85.0
2026-08-21,5.9702,3.2399,2.7303,85.0
