ticker,weight,entry_date,entry_price,bench_entry_price,shares,order_id,note
ACGL,0.02023,2026-08-11,98.26,770.56,,,quote-marked
AIG,0.02134,2026-08-12,76.14,772.49,,,quote-marked
ALL,0.01913,2026-08-11,262.23,770.56,,,quote-marked
ALSN,0.00865,2026-08-12,123.6,772.49,,,quote-marked
AM,0.00946,2026-08-12,22.24,772.49,,,quote-marked
APA,0.02863,2026-08-12,39.97,772.49,,,quote-marked
APGE,0.01486,2026-08-12,134.55,772.49,,,quote-marked
ASND,0.01941,2026-08-11,254.57,770.56,,,quote-marked
BCS,0.01831,2026-08-11,27.84,770.56,,,quote-marked
BIO,0.01842,2026-08-21,380.03,765.72,,,quote-marked
CART,0.01945,2026-08-12,48.45,772.49,,,quote-marked
CF,0.01695,2026-08-11,117.8,770.56,,,quote-marked
CFG,0.00655,2026-08-11,72.99,770.56,,,quote-marked
CHKP,0.00792,2026-08-11,129.12,770.56,,,quote-marked
CINF,0.02078,2026-08-11,173.21,770.56,,,quote-marked
CNC,0.0112,2026-08-11,64.88,770.56,,,quote-marked
CRBG,0.00565,2026-08-13,34.3,777.88,,,quote-marked
DINO,0.00764,2026-08-11,85.55,770.56,,,quote-marked
DOCN,0.00737,2026-08-11,120.86,770.56,,,quote-marked
DVA,0.0181,2026-08-12,181.5,772.49,,,quote-marked
EQNR,0.01054,2026-08-12,40.99,772.49,,,quote-marked
ET,0.00513,2026-08-12,20.95,772.49,,,quote-marked
EWBC,0.0164,2026-08-11,133.04,770.56,,,quote-marked
EXEL,0.0216,2026-08-11,51.33,770.56,,,quote-marked
EXPE,0.01011,2026-08-11,321.07,770.56,,,quote-marked
FCNCA,0.01648,2026-08-12,2271.31,772.49,,,quote-marked
FFIV,0.00846,2026-08-11,414.0,770.56,,,quote-marked
FHN,0.03083,2026-08-13,26.02,777.88,,,quote-marked
FTNT,0.00929,2026-08-11,161.89,770.56,,,quote-marked
FUTU,0.01284,2026-08-11,105.16,770.56,,,quote-marked
GDDY,0.00621,2026-08-12,91.82,772.49,,,quote-marked
GPN,0.01162,2026-08-12,88.53,772.49,,,quote-marked
HALO,0.0054,2026-08-12,101.79,772.49,,,quote-marked
HIG,0.01667,2026-08-11,139.08,770.56,,,quote-marked
HUM,0.00405,2026-08-12,388.83,772.49,,,quote-marked
ILMN,0.00901,2026-08-11,192.84,770.56,,,quote-marked
INCY,0.01777,2026-08-11,121.07,770.56,,,quote-marked
JAZZ,0.00381,2026-08-11,247.98,770.56,,,quote-marked
MEDP,0.01915,2026-08-17,597.12,772.67,,,quote-marked
MGM,0.00432,2026-08-12,43.98,772.49,,,quote-marked
MKL,0.01312,2026-08-11,1841.04,770.56,,,quote-marked
MOH,0.01837,2026-08-12,206.06,772.49,,,quote-marked
MTB,0.00819,2026-08-11,252.16,770.56,,,quote-marked
MUSA,0.01594,2026-08-12,546.93,772.49,,,quote-marked
NBIX,0.00931,2026-08-19,155.54,769.06,,,quote-marked
NTAP,0.01749,2026-08-11,198.47,770.56,,,quote-marked
NTRS,0.01804,2026-08-11,187.78,770.56,,,quote-marked
OVV,0.01093,2026-08-11,63.45,770.56,,,quote-marked
PFG,0.02105,2026-08-11,113.03,770.56,,,quote-marked
PHM,0.02053,2026-08-12,129.16,772.49,,,quote-marked
PNFP,0.01081,2026-08-12,106.83,772.49,,,quote-marked
PRU,0.01229,2026-08-11,122.32,770.56,,,quote-marked
PYPL,0.01394,2026-08-11,59.0,770.56,,,quote-marked
RF,0.01216,2026-08-12,31.6,772.49,,,quote-marked
ROKU,0.00226,2026-08-13,154.08,777.88,,,quote-marked
STT,0.02324,2026-08-11,187.22,770.56,,,quote-marked
SYF,0.02296,2026-08-11,78.47,770.56,,,quote-marked
TFC,0.00729,2026-08-12,52.67,772.49,,,quote-marked
THC,0.0153,2026-08-11,259.45,770.56,,,quote-marked
TOL,0.01108,2026-08-12,148.53,772.49,,,quote-marked
TRV,0.00919,2026-08-12,370.16,772.49,,,quote-marked
TWLO,0.00409,2026-08-11,255.95,770.56,,,quote-marked
UAL,0.00702,2026-08-12,125.12,772.49,,,quote-marked
UMC,0.00783,2026-08-12,19.31,772.49,,,quote-marked
UNM,0.01918,2026-08-12,91.79,772.49,,,quote-marked
UTHR,0.01558,2026-08-11,515.5,770.56,,,quote-marked
WSM,0.0071,2026-08-11,250.59,770.56,,,quote-marked
ZM,0.02215,2026-08-12,105.13,772.49,,,quote-marked
