alert_id,ticker,occ_symbol,opt_right,strike,expiry,contracts,state,alert_ts,entry_ts,entry_premium,exit_ts,exit_premium,exit_reason,pnl_pct,pnl_dollars
1,TGT,TGT260918C00160000,call,160.0,2026-09-18,1,closing,2026-08-03 17:57,2026-08-04T13:46:15.812Z,3.55,,,target,,
2,MET,MET261016C00100000,call,100.0,2026-10-16,1,closed,2026-08-07 00:43,2026-08-07T13:47:15.596Z,4.6,2026-08-11T21:30:37,2.45,stop,-0.4673913043,-215.0
3,ETN,ETN261016C00500000,call,500.0,2026-10-16,1,closed,2026-08-07 00:43,2026-08-07T13:46:09.979Z,16.1,2026-08-19T21:10:20,4.7,stop,-0.7080745342,-1140.0
4,SBUX,SBUX261016C00115000,call,115.0,2026-10-16,1,closed,2026-08-14 14:21,2026-08-17T15:31:04.683Z,2.2,2026-08-21T21:03:38,0.97,stop,-0.5590909091,-123.0
5,FDX,FDX261016C00350000,call,350.0,2026-10-16,1,closed,2026-08-14 17:32,2026-08-17T15:31:04.625Z,9.05,2026-08-21T22:01:22,4.05,stop (marked; exit order rejected),-0.5524861878,-500.0
6,DE,DE261016C00650000,call,650.0,2026-10-16,1,skipped,2026-08-21 18:43,,,,,,,
7,HCA,HCA261016C00430000,call,430.0,2026-10-16,1,skipped,2026-08-21 20:34,,,,,,,
