seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f8_csp_entry_financing,0ad29231c3e5292673e2cc3b4f026b227af251c88cb6d6f5df0b49bfae6fde72,0ad29231c3e5292673e2cc3b4f026b227af251c88cb6d6f5df0b49bfae6fde72,ef7a7aa2bf0041b4cabea293c9f8e6103df43bd138521dbbd69ea4c76ef135ad,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f8_csp_entry_financing,0ad29231c3e5292673e2cc3b4f026b227af251c88cb6d6f5df0b49bfae6fde72,ef7a7aa2bf0041b4cabea293c9f8e6103df43bd138521dbbd69ea4c76ef135ad,8425e201bfe6cd1278cab24ed42d10fbab5d93929275ae0a3585d4966edaa199,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f8_csp_entry_financing,0ad29231c3e5292673e2cc3b4f026b227af251c88cb6d6f5df0b49bfae6fde72,8425e201bfe6cd1278cab24ed42d10fbab5d93929275ae0a3585d4966edaa199,65d18a8c3e32296cc2c6746d275172669df1fcfbfbc49e8f6e2734a0b711613d,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f8_csp_entry_financing,0ad29231c3e5292673e2cc3b4f026b227af251c88cb6d6f5df0b49bfae6fde72,65d18a8c3e32296cc2c6746d275172669df1fcfbfbc49e8f6e2734a0b711613d,b5efe24de8c6a1d110718938f183eee6302b33df9b771697b4db89ec61943ead,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
