seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f18_boring_book,b30571f66e8f6e89323192b7db2ad00fd46db4f7af797fda745f1a123028d940,b30571f66e8f6e89323192b7db2ad00fd46db4f7af797fda745f1a123028d940,c159d2e1e42995e5447507a05bae66f7bc5852efb2b19502e6b9d9bba67acc10,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f18_boring_book,b30571f66e8f6e89323192b7db2ad00fd46db4f7af797fda745f1a123028d940,c159d2e1e42995e5447507a05bae66f7bc5852efb2b19502e6b9d9bba67acc10,7b42c42ab939bc5a94da06a261b0f9b22f824fc3eb937eea2931e848768388fe,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f18_boring_book,b30571f66e8f6e89323192b7db2ad00fd46db4f7af797fda745f1a123028d940,7b42c42ab939bc5a94da06a261b0f9b22f824fc3eb937eea2931e848768388fe,27fcf06807fdecca0d87730fa8a8868eb56715fefa3295c43ca9a70ebf3e89b2,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f18_boring_book,b30571f66e8f6e89323192b7db2ad00fd46db4f7af797fda745f1a123028d940,27fcf06807fdecca0d87730fa8a8868eb56715fefa3295c43ca9a70ebf3e89b2,52866bc9e64543031368a5b1374a3372255fd7804d8851e93f663e55099be175,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
