seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f14_fda_nohump,fb8fdd05e6ab87a717e1cb3123f538e6833391132a75c2ffb80c0c7cf249b6bf,fb8fdd05e6ab87a717e1cb3123f538e6833391132a75c2ffb80c0c7cf249b6bf,19de5ec58983b234c22961bfd3cc65ad931a375431b3955c6f292acd8016a8be,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f14_fda_nohump,fb8fdd05e6ab87a717e1cb3123f538e6833391132a75c2ffb80c0c7cf249b6bf,19de5ec58983b234c22961bfd3cc65ad931a375431b3955c6f292acd8016a8be,59c50a098cefdef10549085fbeb0d89c164655ce82df0829501789a7796ce36c,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f14_fda_nohump,fb8fdd05e6ab87a717e1cb3123f538e6833391132a75c2ffb80c0c7cf249b6bf,59c50a098cefdef10549085fbeb0d89c164655ce82df0829501789a7796ce36c,8b2a40350a8c42b4faceb31857c1ece9cc4948fef06ab6e62f82d0066d95cde3,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f14_fda_nohump,fb8fdd05e6ab87a717e1cb3123f538e6833391132a75c2ffb80c0c7cf249b6bf,8b2a40350a8c42b4faceb31857c1ece9cc4948fef06ab6e62f82d0066d95cde3,3d2e91dd53a5bd1ada2b1c4efc6b77f27c0435f061ead128e58235ec3071fde6,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
