seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f2_menu_gate,6aaddf09faaf4b6c54530db084b5ad1abbef21405cc80c65fa2ee3f18b8396ca,6aaddf09faaf4b6c54530db084b5ad1abbef21405cc80c65fa2ee3f18b8396ca,91ab681a3d87d296cb1a124afe043aff0f87399996160e21f2026dfd067c4e40,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f2_menu_gate,6aaddf09faaf4b6c54530db084b5ad1abbef21405cc80c65fa2ee3f18b8396ca,91ab681a3d87d296cb1a124afe043aff0f87399996160e21f2026dfd067c4e40,52f306e8a2727f68f4f6c5ada4f0dbfce1c7a37a30e43ed5b90f72a6d3a5cd17,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f2_menu_gate,6aaddf09faaf4b6c54530db084b5ad1abbef21405cc80c65fa2ee3f18b8396ca,52f306e8a2727f68f4f6c5ada4f0dbfce1c7a37a30e43ed5b90f72a6d3a5cd17,93db82a57e3f55662806727d89888ce7097ad93fc7db7b1747bb4d9245d45a2c,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f2_menu_gate,6aaddf09faaf4b6c54530db084b5ad1abbef21405cc80c65fa2ee3f18b8396ca,93db82a57e3f55662806727d89888ce7097ad93fc7db7b1747bb4d9245d45a2c,a65e0e78f8a6bcbaffa6df6fb914b2038e3976e5d92264d1ea25406b45ac2e84,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
