seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f5_ivcheap,59ffbe5ec61b8d3d33de3d64f14ec583265f27c421254c1f5549b46aaae4db55,59ffbe5ec61b8d3d33de3d64f14ec583265f27c421254c1f5549b46aaae4db55,0c0e278a0ff9ed4926a4b8fe0dcd4416326bb6694da4bf0307f43a3dd00796c7,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f5_ivcheap,59ffbe5ec61b8d3d33de3d64f14ec583265f27c421254c1f5549b46aaae4db55,0c0e278a0ff9ed4926a4b8fe0dcd4416326bb6694da4bf0307f43a3dd00796c7,507d2dc15bf9fb9cbf71fb6046f796c8882c24af304bcaaa0cb609128e1808f1,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f5_ivcheap,59ffbe5ec61b8d3d33de3d64f14ec583265f27c421254c1f5549b46aaae4db55,507d2dc15bf9fb9cbf71fb6046f796c8882c24af304bcaaa0cb609128e1808f1,863b388844dc7b21aa115be2d29a823f827e9c2f6d492ea8f15b55f910d5758a,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f5_ivcheap,59ffbe5ec61b8d3d33de3d64f14ec583265f27c421254c1f5549b46aaae4db55,863b388844dc7b21aa115be2d29a823f827e9c2f6d492ea8f15b55f910d5758a,6fbfd872b25263e26afdf2f13283dbf51ead999378407546d1047edf9384fa57,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
