seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f20_married_put_storm,91f7511ac10d9df398fd866706de9cd4f6544e06f9c0803d88ecb7e7ab961fe5,91f7511ac10d9df398fd866706de9cd4f6544e06f9c0803d88ecb7e7ab961fe5,00482a1f483a958096c6b8364e9d386d085cfc4b34d7aaf58fefeb3533628bb9,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f20_married_put_storm,91f7511ac10d9df398fd866706de9cd4f6544e06f9c0803d88ecb7e7ab961fe5,00482a1f483a958096c6b8364e9d386d085cfc4b34d7aaf58fefeb3533628bb9,10edfa8d4f0eaba14b3a49efee0eda95f523431bd89c5057295bbfc4df81d8a3,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f20_married_put_storm,91f7511ac10d9df398fd866706de9cd4f6544e06f9c0803d88ecb7e7ab961fe5,10edfa8d4f0eaba14b3a49efee0eda95f523431bd89c5057295bbfc4df81d8a3,6533a6336fe1ac02caf5f75b8cb2bd883e7953c5788938d2ce653b0026595baa,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f20_married_put_storm,91f7511ac10d9df398fd866706de9cd4f6544e06f9c0803d88ecb7e7ab961fe5,6533a6336fe1ac02caf5f75b8cb2bd883e7953c5788938d2ce653b0026595baa,7dd0df232874953a32261bc5e60b08662384c55c6d8073038cbf300b09c1ad96,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
