seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f13_second_event,61b7a795cd779640177aae0f7494e6913b5368ad9c14022f12e922746fab637c,61b7a795cd779640177aae0f7494e6913b5368ad9c14022f12e922746fab637c,2f18dd8925cf21261dcdcc2ad4ff24ef1e0b1417dbcb4e7df3bad70674b4610d,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f13_second_event,61b7a795cd779640177aae0f7494e6913b5368ad9c14022f12e922746fab637c,2f18dd8925cf21261dcdcc2ad4ff24ef1e0b1417dbcb4e7df3bad70674b4610d,9228588a5b3da2f1a404e4a25bf23512c160b0b16d5a6c3eef9661ec7510c6c1,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f13_second_event,61b7a795cd779640177aae0f7494e6913b5368ad9c14022f12e922746fab637c,9228588a5b3da2f1a404e4a25bf23512c160b0b16d5a6c3eef9661ec7510c6c1,f2cd1a8363fd13d47f07a8c5c3aeb686ec8cb7960eb8a021241aff51aaccc54d,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f13_second_event,61b7a795cd779640177aae0f7494e6913b5368ad9c14022f12e922746fab637c,f2cd1a8363fd13d47f07a8c5c3aeb686ec8cb7960eb8a021241aff51aaccc54d,7a48d4fa2866017217511ce1f3c0b3a756833bbcce9c84eb55c4a29ba66ff80b,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
