seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f19_density_gate,4c478e2db677a049491906d1e4deb2a21141645190024441b5bd4314c48e6f0f,4c478e2db677a049491906d1e4deb2a21141645190024441b5bd4314c48e6f0f,de00d674504a697934cc26add8a7669dbc78dfa68700fe11613e8228f9035058,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f19_density_gate,4c478e2db677a049491906d1e4deb2a21141645190024441b5bd4314c48e6f0f,de00d674504a697934cc26add8a7669dbc78dfa68700fe11613e8228f9035058,faeac4a546925f6e65d16c369ccb80f3503c7a97418b979347f1ac53ad48708c,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f19_density_gate,4c478e2db677a049491906d1e4deb2a21141645190024441b5bd4314c48e6f0f,faeac4a546925f6e65d16c369ccb80f3503c7a97418b979347f1ac53ad48708c,233b39738a95166605d81af28d2e90ae060812b90d1fc7335221948e0bf9eda6,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f19_density_gate,4c478e2db677a049491906d1e4deb2a21141645190024441b5bd4314c48e6f0f,233b39738a95166605d81af28d2e90ae060812b90d1fc7335221948e0bf9eda6,5f708d059abbbef9b6c6f45a353dac7d344f4720c144630db1d83828cea3c513,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
