seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f10_clean_csp,72ccdec0dd60bb27002dc771578f447313bdd404fb2c7f806e05f94eb8da1fe0,72ccdec0dd60bb27002dc771578f447313bdd404fb2c7f806e05f94eb8da1fe0,feca69ebd65ac3abf10134519e9bd18e41601b91024ee448bce820d0b01bf647,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f10_clean_csp,72ccdec0dd60bb27002dc771578f447313bdd404fb2c7f806e05f94eb8da1fe0,feca69ebd65ac3abf10134519e9bd18e41601b91024ee448bce820d0b01bf647,a80c2faf9e293ac0f30592ac4091119f6a0fa4736ed4fb609c5523b9dd4401ca,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f10_clean_csp,72ccdec0dd60bb27002dc771578f447313bdd404fb2c7f806e05f94eb8da1fe0,a80c2faf9e293ac0f30592ac4091119f6a0fa4736ed4fb609c5523b9dd4401ca,2df2a6cda13cf31695be364727c0ed0be6f2c50fc89719dae307c4b1d92cb150,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f10_clean_csp,72ccdec0dd60bb27002dc771578f447313bdd404fb2c7f806e05f94eb8da1fe0,2df2a6cda13cf31695be364727c0ed0be6f2c50fc89719dae307c4b1d92cb150,40e2b0599c32520dc672d6a18b351e9e40d1751e1b60c2bfaf1f138107da34be,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
