seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f11_dip_reject_puts,bf9672e661fb26cb075da58b722e749fc405b02077ba39e3b17cb3f1d18d95aa,bf9672e661fb26cb075da58b722e749fc405b02077ba39e3b17cb3f1d18d95aa,8868777cfa688b03529c40ad1b6163dcbe2e858b9337d744d007d4b16ed65d44,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f11_dip_reject_puts,bf9672e661fb26cb075da58b722e749fc405b02077ba39e3b17cb3f1d18d95aa,8868777cfa688b03529c40ad1b6163dcbe2e858b9337d744d007d4b16ed65d44,c09c502dbe44c0a2ed95679da7b79ba32e25828f27f8793d6b9b5551d560a642,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f11_dip_reject_puts,bf9672e661fb26cb075da58b722e749fc405b02077ba39e3b17cb3f1d18d95aa,c09c502dbe44c0a2ed95679da7b79ba32e25828f27f8793d6b9b5551d560a642,d10b2c43ac43d10b49b5bfe0a66a65a4c86cb924a9cff7914e5258f1016bc83d,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f11_dip_reject_puts,bf9672e661fb26cb075da58b722e749fc405b02077ba39e3b17cb3f1d18d95aa,d10b2c43ac43d10b49b5bfe0a66a65a4c86cb924a9cff7914e5258f1016bc83d,afc580b9fe65ed811e30fd399aee003ca031780da571ba7f78d2e91249c0783f,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
