seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f1_fill_ab,48705fed6f160124940836bc8a79e6a6b6c81dafd517b12633e45b16ee6106b2,48705fed6f160124940836bc8a79e6a6b6c81dafd517b12633e45b16ee6106b2,6ad9581e4345937b2b3d39412d40c010432aa64d4c486ed44a774efba25f3297,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f1_fill_ab,48705fed6f160124940836bc8a79e6a6b6c81dafd517b12633e45b16ee6106b2,6ad9581e4345937b2b3d39412d40c010432aa64d4c486ed44a774efba25f3297,21b94885243b607c4fea92d3336dfb8d0094f9583d1af0a3434c1c70934acd90,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f1_fill_ab,48705fed6f160124940836bc8a79e6a6b6c81dafd517b12633e45b16ee6106b2,21b94885243b607c4fea92d3336dfb8d0094f9583d1af0a3434c1c70934acd90,9d6d50caacd0cdf668c0b796a139c16e075de2207c39723564dbd1452efe60b2,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f1_fill_ab,48705fed6f160124940836bc8a79e6a6b6c81dafd517b12633e45b16ee6106b2,9d6d50caacd0cdf668c0b796a139c16e075de2207c39723564dbd1452efe60b2,366c450049abe1e2555c0faa35f582d86c469f6c82d83575c14e9cb9d4ad2cfc,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
