seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f6_collar_ledger,c7e5956ed289c5409aa2735cc9f565b82547f7c470b9bb05236e9daae473f232,c7e5956ed289c5409aa2735cc9f565b82547f7c470b9bb05236e9daae473f232,4bae660fdc47c860ed9f3dd6f9277c5242d3f40e07f7ce64ac862b9bd6a5532c,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f6_collar_ledger,c7e5956ed289c5409aa2735cc9f565b82547f7c470b9bb05236e9daae473f232,4bae660fdc47c860ed9f3dd6f9277c5242d3f40e07f7ce64ac862b9bd6a5532c,e929f463b9d8bd64623117749d3b3a13d566ea1de4edddc00c60a3c12d49ddd0,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f6_collar_ledger,c7e5956ed289c5409aa2735cc9f565b82547f7c470b9bb05236e9daae473f232,e929f463b9d8bd64623117749d3b3a13d566ea1de4edddc00c60a3c12d49ddd0,4c878da2ae2416b06d7120847456b90f876f70889c04d5f05e65f2c566589eca,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f6_collar_ledger,c7e5956ed289c5409aa2735cc9f565b82547f7c470b9bb05236e9daae473f232,4c878da2ae2416b06d7120847456b90f876f70889c04d5f05e65f2c566589eca,7a13ceeaf718b50314fdbbdf8ab8f5b1077ccad3eb35ab352c2da5bf7dbb2432,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
