seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f4_eventfree_premium,e47e2fcedd5fd1dec9c0556f86487c08f00a4da0e21b7a06a0964a146b4f19fe,e47e2fcedd5fd1dec9c0556f86487c08f00a4da0e21b7a06a0964a146b4f19fe,6ad21fe6f7b558f13907e3de3adb166a99b5ffe828e358e5992fb2bac7531989,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f4_eventfree_premium,e47e2fcedd5fd1dec9c0556f86487c08f00a4da0e21b7a06a0964a146b4f19fe,6ad21fe6f7b558f13907e3de3adb166a99b5ffe828e358e5992fb2bac7531989,3d8f1aca18ee503d71c2844b16cd5b7eb9b11bdb55f392da4885eb4820113c34,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f4_eventfree_premium,e47e2fcedd5fd1dec9c0556f86487c08f00a4da0e21b7a06a0964a146b4f19fe,3d8f1aca18ee503d71c2844b16cd5b7eb9b11bdb55f392da4885eb4820113c34,7cd71a6ad5b7b855237057b83d83840d0ae83e9e14a0c65e28de5a8ce38aed75,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f4_eventfree_premium,e47e2fcedd5fd1dec9c0556f86487c08f00a4da0e21b7a06a0964a146b4f19fe,7cd71a6ad5b7b855237057b83d83840d0ae83e9e14a0c65e28de5a8ce38aed75,93bc009e14374c29e824f4bb222b5adc42cf82e29eb50a600d20d5c2ea3d0f39,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
