seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f15_insider_cluster,38dd1ab8451d86bda0166c7c9b40320516d063b0bbcd35be21fac50ef5ecde3d,38dd1ab8451d86bda0166c7c9b40320516d063b0bbcd35be21fac50ef5ecde3d,664cf2db19b972d05baa82f2092b81191c2849d8bac72aab8d7d1de49934c55d,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f15_insider_cluster,38dd1ab8451d86bda0166c7c9b40320516d063b0bbcd35be21fac50ef5ecde3d,664cf2db19b972d05baa82f2092b81191c2849d8bac72aab8d7d1de49934c55d,3246e3e67bca47b7ddeb680c098e6b3ef8ae2c4334a6819d2aa8d0cf6820a8e3,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f15_insider_cluster,38dd1ab8451d86bda0166c7c9b40320516d063b0bbcd35be21fac50ef5ecde3d,3246e3e67bca47b7ddeb680c098e6b3ef8ae2c4334a6819d2aa8d0cf6820a8e3,41daf9a07c10d5b5d7c21bf35dbcf136c3f45b01464a45757c5e190743acb5a2,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f15_insider_cluster,38dd1ab8451d86bda0166c7c9b40320516d063b0bbcd35be21fac50ef5ecde3d,41daf9a07c10d5b5d7c21bf35dbcf136c3f45b01464a45757c5e190743acb5a2,a05a4e56626251afbd774c3ab72714088a0d39c7a6b8b8f01b8e18a619a356bd,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
