seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f17_vrp_percentile_sells,e2879f58fc90d2288e17d591a92b77f3a5a0ea40adc3ff80feb8548bdca185ec,e2879f58fc90d2288e17d591a92b77f3a5a0ea40adc3ff80feb8548bdca185ec,03e19b37ec19ab76040ecb78fb4b128885f1444dbf5bb9c97fbfb178618b7163,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f17_vrp_percentile_sells,e2879f58fc90d2288e17d591a92b77f3a5a0ea40adc3ff80feb8548bdca185ec,03e19b37ec19ab76040ecb78fb4b128885f1444dbf5bb9c97fbfb178618b7163,b9db70530b67cf29eed016bf9d420926b87d3738fc7049a50e526af262e5e88d,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f17_vrp_percentile_sells,e2879f58fc90d2288e17d591a92b77f3a5a0ea40adc3ff80feb8548bdca185ec,b9db70530b67cf29eed016bf9d420926b87d3738fc7049a50e526af262e5e88d,7176408ea4564c00e47ac6194a75a2949fac87b68f334e466e378aeeceddec1f,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f17_vrp_percentile_sells,e2879f58fc90d2288e17d591a92b77f3a5a0ea40adc3ff80feb8548bdca185ec,7176408ea4564c00e47ac6194a75a2949fac87b68f334e466e378aeeceddec1f,9400f5c7e0dc0501a7381317c856dbf457033e92496124645947a0a9c7ed801a,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
