seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f12_postevent_reversal,e799beef119783c3ca65d123035fcebb7a334909c63d3a5d16caad92206f0eaa,e799beef119783c3ca65d123035fcebb7a334909c63d3a5d16caad92206f0eaa,8db60f64f035b5cbfdc2e5a6730e16906d874a490db1e47312a9f429e2bfcb30,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f12_postevent_reversal,e799beef119783c3ca65d123035fcebb7a334909c63d3a5d16caad92206f0eaa,8db60f64f035b5cbfdc2e5a6730e16906d874a490db1e47312a9f429e2bfcb30,87e895c04c60c352efdf0859da11d60ab1c6671dbbd9d9cc6e130420a7f2d460,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-27T12:37:20,selfcheck,f12_postevent_reversal,e799beef119783c3ca65d123035fcebb7a334909c63d3a5d16caad92206f0eaa,87e895c04c60c352efdf0859da11d60ab1c6671dbbd9d9cc6e130420a7f2d460,9eac96e9a2a5db057fe8002c76ad4d6543af16dcef4924144a13cbd1a66a084f,,,,,,,,,,,,,,,pass,,,,2cf9f447ba246d011abc253b53ab13e11a0e113a0bd62bed23b042db5efeaab1,,,,
00000004,2026-08-27T13:19:49,selfcheck,f12_postevent_reversal,e799beef119783c3ca65d123035fcebb7a334909c63d3a5d16caad92206f0eaa,9eac96e9a2a5db057fe8002c76ad4d6543af16dcef4924144a13cbd1a66a084f,63e123d62607ead50aa259e596265a24909e70c1fd08c87495c8284b38b557fd,,,,,,,,,,,,,,,pass,,,,a5225481968ae261b2ac01449c38f5880c5c85dd9ffe8349d4365b4eb5bb7fa1,,,,
